nama_provinsi,kode_kabkota,nama_kabkota,tahun,indikator_ipm,satuan,nilai
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2009,"IPM","Tanpa Satuan",71.23
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2010,"Angka Harapan Hidup","Tahun",69.22
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2010,"Angka Melek Huruf","Persen",97.95
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2010,"Rata-rata Lama Sekolah","Tahun",9.35
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2010,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",597.96
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2010,"IPM","Tanpa Satuan",71.6
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2011,"Angka Harapan Hidup","Tahun",69.26
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2011,"Angka Melek Huruf","Persen",97.97
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2011,"Rata-rata Lama Sekolah","Tahun",9.36
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2011,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",602.06
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2011,"IPM","Tanpa Satuan",71.94
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2012,"Angka Harapan Hidup","Tahun",69.29
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2012,"Angka Melek Huruf","Persen",97.97
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2012,"Rata-rata Lama Sekolah","Tahun",9.37
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2012,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",605.79
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2012,"IPM","Tanpa Satuan",72.25
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2004,"Angka Harapan Hidup","Tahun",68.5
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2004,"Angka Melek Huruf","Persen",96.7
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2004,"Rata-rata Lama Sekolah","Tahun",8.06
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2004,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",568.91
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2004,"IPM","Tanpa Satuan",67.72
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2005,"Angka Harapan Hidup","Tahun",69.1
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2005,"Angka Melek Huruf","Persen",97.24
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2005,"Rata-rata Lama Sekolah","Tahun",8.28
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2005,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",569.83
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2005,"IPM","Tanpa Satuan",68.41
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2006,"Angka Harapan Hidup","Tahun",69.3
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2006,"Angka Melek Huruf","Persen",97.24
